id,imdb_id,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,combine
862,tt0114709,toy story,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,Tom Hanks John Ratzenberger Jim Varney John Lasseter Adventure Animation Comedy Family Fantasy
710,tt0113189,goldeneye,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller,Izabella Scorupco Joe Don Baker Tchéky Karyo Martin Campbell Action Adventure Thriller
9087,tt0112346,the american president,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance,Shawna Waldron Samantha Mathis Wendie Malick Rob Reiner Comedy Drama Romance
10858,tt0113987,nixon,Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography Drama History
1408,tt0112760,cutthroat island,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,Action Adventure Comedy,Christopher Masterson Frank Langella Matthew Modine Renny Harlin Action Adventure Comedy
524,tt0112641,casino,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,Biography Crime Drama,Robert De Niro Don Rickles Kevin Pollak Martin Scorsese Biography Crime Drama
4584,tt0114388,sense and sensibility,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,Alan Rickman Kate Winslet Tom Wilkinson Ang Lee Drama Romance
315010,tt0847150,sense and sensibility,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,Alan Rickman Kate Winslet Tom Wilkinson Ang Lee Drama Romance
391934,tt0089991,sense and sensibility,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,Alan Rickman Kate Winslet Tom Wilkinson Ang Lee Drama Romance
243987,tt0254768,sense and sensibility,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,Alan Rickman Kate Winslet Tom Wilkinson Ang Lee Drama Romance
5,tt0113101,four rooms,Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,Comedy Fantasy,Salma Hayek Alicia Witt Lili Taylor Allison Anders Comedy Fantasy
9273,tt0112281,ace ventura: when nature calls,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure Comedy,Bruce Spence Bob Gunton Sophie Okonedo Steve Oedekerk Adventure Comedy
11517,tt0113845,money train,Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller,Vincent Pastore Robert Blake Aida Turturro Joseph Ruben Action Comedy Crime Drama Thriller
8012,tt0113161,get shorty,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,Comedy Crime Thriller,Delroy Lindo Rene Russo Jon Gries Barry Sonnenfeld Comedy Crime Thriller
1710,tt0112722,copycat,Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,Crime Drama Mystery Thriller,William McNamara Holly Hunter Harry Connick Jr. Jon Amiel Crime Drama Mystery Thriller
9691,tt0112401,assassins,Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,Action Crime Thriller,Muse Watson Sylvester Stallone Kelly Rowan Richard Donner Action Crime Thriller
451,tt0113627,leaving las vegas,Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,Drama Romance,Nicolas Cage Valeria Golino Julian Sands Mike Figgis Drama Romance
9598,tt0112431,babe,Chris Noonan,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,Comedy Drama Family,Miriam Margolyes Christine Cavanaugh Roscoe Lee Browne Chris Noonan Comedy Drama Family
687,tt0112818,dead man walking,Tim Robbins,Lois Smith,Celia Weston,Robert Prosky,Crime Drama,Lois Smith Celia Weston Robert Prosky Tim Robbins Crime Drama
9603,tt0112697,clueless,Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,Comedy Romance,Donald Faison Dan Hedaya Elisa Donovan Amy Heckerling Comedy Romance
31174,tt0114279,richard iii,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,Drama War,Robert Downey Jr. Jim Broadbent Kristin Scott Thomas Richard Loncraine Drama War
43323,tt0049674,richard iii,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,Drama War,Robert Downey Jr. Jim Broadbent Kristin Scott Thomas Richard Loncraine Drama War
46758,tt0002461,richard iii,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,Drama War,Robert Downey Jr. Jim Broadbent Kristin Scott Thomas Richard Loncraine Drama War
35196,tt0114272,restoration,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror
396152,tt4517738,restoration,Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror
9312,tt0113855,mortal kombat,Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Action Adventure Fantasy Sci-Fi Thriller,Christopher Lambert Cary-Hiroyuki Tagawa Bridgette Wilson-Sampras Paul W.S. Anderson Action Adventure Fantasy Sci-Fi Thriller
577,tt0114681,to die for,Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,Comedy Crime Drama,Kurtwood Smith Wayne Knight Holland Taylor Gus Van Sant Comedy Crime Drama
807,tt0114369,se7en,David Fincher,Morgan Freeman,Brad Pitt,Reg E. Cathey,Crime Drama Mystery Thriller,Morgan Freeman Brad Pitt Reg E. Cathey David Fincher Crime Drama Mystery Thriller
10530,tt0114148,pocahontas,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,Adventure Animation Drama Family History Musical Romance,Christian Bale Frank Welker Irene Bedard Mike Gabriel Adventure Animation Drama Family History Musical Romance
629,tt0114814,the usual suspects,Bryan Singer,Kevin Spacey,Chazz Palminteri,Kevin Pollak,Crime Drama Mystery Thriller,Kevin Spacey Chazz Palminteri Kevin Pollak Bryan Singer Crime Drama Mystery Thriller
9089,tt0113321,home for the holidays,Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,Comedy Drama Romance,Robert Downey Jr. Holly Hunter Steve Guttenberg Jodie Foster Comedy Drama Romance
30933,tt0068708,home for the holidays,Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,Comedy Drama Romance,Robert Downey Jr. Holly Hunter Steve Guttenberg Jodie Foster Comedy Drama Romance
11010,tt0110877,the postman,Kevin Costner,Olivia Williams,Brian Anthony Wilson,Larenz Tate,Action Adventure Drama Sci-Fi,Olivia Williams Brian Anthony Wilson Larenz Tate Kevin Costner Action Adventure Drama Sci-Fi
9922,tt0119925,the postman,Kevin Costner,Olivia Williams,Brian Anthony Wilson,Larenz Tate,Action Adventure Drama Sci-Fi,Olivia Williams Brian Anthony Wilson Larenz Tate Kevin Costner Action Adventure Drama Sci-Fi
11359,tt0113419,the indian in the cupboard,Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama Family Fantasy
17182,tt0116260,eye for an eye,John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,Crime Drama Thriller,Joe Mantegna Beverly D'Angelo Philip Baker Hall John Schlesinger Crime Drama Thriller
251959,tt0313422,eye for an eye,John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,Crime Drama Thriller,Joe Mantegna Beverly D'Angelo Philip Baker Hall John Schlesinger Crime Drama Thriller
49095,tt1305730,eye for an eye,John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,Crime Drama Thriller,Joe Mantegna Beverly D'Angelo Philip Baker Hall John Schlesinger Crime Drama Thriller
2054,tt0113862,mr. holland's opus,Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,Drama Music,Alicia Witt Olympia Dukakis Jean Louisa Kelly Stephen Herek Drama Music
10634,tt0113118,friday,F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,Comedy Drama,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama
390880,tt5311004,friday,F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,Comedy Drama,Nia Long John Witherspoon Tony Cox F. Gary Gray Comedy Drama
755,tt0116367,from dusk till dawn,Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,Crime Fantasy Horror,Quentin Tarantino Salma Hayek Cheech Marin Robert Rodriguez Crime Fantasy Horror
11859,tt0113010,fair game,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
38363,tt0977855,fair game,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
49237,tt0089122,fair game,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,Biography Drama Thriller,Naomi Watts Ty Burrell Brooke Smith Doug Liman Biography Drama Thriller
9623,tt0116731,the juror,Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Drama Thriller,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
400,tt0114660,things to do in denver when you're dead,Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,Crime Drama,Steve Buscemi Bill Cobbs Treat Williams Gary Fleder Crime Drama
